family,family_templates,left_element,right_element,cooccurrence_count,cooccurrence_fraction,pearson_zero_filled,spearman_zero_filled,pearson_log_both_positive
fe_alloy,298,Fe,Cr,287,0.9630872483221476,-0.37612584406628075,-0.34642543376617074,-0.17906067591799477
fe_alloy,298,Fe,Ni,241,0.8087248322147651,-0.773674185287228,-0.7547170423358535,-0.5057056191716225
fe_alloy,298,Fe,Mo,218,0.7315436241610739,-0.2016959890048496,-0.24898015758573283,-0.13979286860566215
fe_alloy,298,Fe,W,24,0.08053691275167785,-0.02439874690516515,-0.06205753256079768,-0.06677783151121622
fe_alloy,298,Fe,Nb,24,0.08053691275167785,-0.07341371558795265,0.08919144723828953,-0.4635045404038876
fe_alloy,298,Fe,Al,16,0.053691275167785234,0.043710981382839846,0.05426614424046187,0.48201012587425
fe_alloy,298,Fe,V,5,0.016778523489932886,0.047351130486981065,-0.002889189504532183,
fe_alloy,298,Fe,Ta,4,0.013422818791946308,-0.0985857216641337,-0.0588147914339096,
fe_alloy,298,Fe,Re,2,0.006711409395973154,0.0017361115062242572,-0.01389367200634048,
fe_alloy,298,Fe,Ce,3,0.010067114093959731,0.011707854302179046,0.009903824480256508,
fe_alloy,298,Fe,Ti,7,0.02348993288590604,0.10728845496092838,0.14725072959816765,
fe_alloy,298,Fe,Co,1,0.003355704697986577,0.0353635607851389,0.059695690853431675,
fe_alloy,298,Fe,B,2,0.006711409395973154,0.02190390957216642,0.030577153764050763,
fe_alloy,298,Fe,Mg,0,0.0,,,
fe_alloy,298,Fe,Y,0,0.0,,,
fe_alloy,298,Fe,Gd,0,0.0,,,
fe_alloy,298,Cr,Ni,241,0.8087248322147651,0.10784044011001538,0.15024796790593659,-0.08310604542868293
fe_alloy,298,Cr,Mo,208,0.697986577181208,-0.2119106909142029,0.15333641199912518,-0.05913523210211238
fe_alloy,298,Cr,W,24,0.08053691275167785,0.023580870642610302,0.1466706649383906,-0.25184016476262716
fe_alloy,298,Cr,Nb,24,0.08053691275167785,0.04804112132223762,0.2547581971268307,-0.8554689608487168
fe_alloy,298,Cr,Al,15,0.050335570469798654,-0.43312866433531233,-0.2510955220520964,-0.8447957614768881
fe_alloy,298,Cr,V,5,0.016778523489932886,-0.03325644849082166,-0.05447279999083713,
fe_alloy,298,Cr,Ta,4,0.013422818791946308,0.0067497551158377175,0.03302708131983481,
fe_alloy,298,Cr,Re,2,0.006711409395973154,-0.0030895008848095588,-0.022943943365628567,
fe_alloy,298,Cr,Ce,3,0.010067114093959731,-0.003568276377947387,-0.028147797238674187,
fe_alloy,298,Cr,Ti,7,0.02348993288590604,0.006271091483962607,-0.008828034910988176,
fe_alloy,298,Cr,Co,1,0.003355704697986577,-0.011184318170067651,-0.047577435816575184,
fe_alloy,298,Cr,B,2,0.006711409395973154,-0.21706368655385175,-0.13049441758290248,
fe_alloy,298,Cr,Mg,0,0.0,,,
fe_alloy,298,Cr,Y,0,0.0,,,
fe_alloy,298,Cr,Gd,0,0.0,,,
fe_alloy,298,Ni,Mo,178,0.5973154362416108,0.03493974907664235,0.2003670648772748,-0.0269257137435017
fe_alloy,298,Ni,W,13,0.0436241610738255,-0.06389590221355243,-0.09683392427646693,-0.625018729357
