dataset,table,column,current_group,semantic_domain,causal_role,statistical_family,data_kind,review_priority,current_vs_proposed_changed,semantic_score,semantic_score_margin,semantic_scores,semantic_reasons,distribution_tags,causal_tags,n_rows,nonmissing_count,nonmissing_ratio,unique_count,unique_ratio_nonmissing,numeric_count,numeric_ratio_nonmissing,numeric_ratio_rows,unique_numeric_count,integer_like_ratio,numeric_min,numeric_q01,numeric_q05,numeric_q25,numeric_median,numeric_q75,numeric_q95,numeric_q99,numeric_max,numeric_mean,numeric_std,numeric_iqr,numeric_skew,positive_ratio,negative_ratio,zero_ratio,composition_set,composition_sum_median,is_element_symbol,avg_text_len,max_text_len,top_values
electrochemical_metrics_alloys,Pitting Potential,No.,metadata,metadata,metadata_identifier,low_cardinality_numeric,numeric_continuous,low,False,3.25,3.25,"{""metadata"": 3.25}","[""current_group:metadata""]",[],[],810,810,1.0,810,1.0,810,1.0,1.0,810,1.0,1.0,9.09,41.45,203.25,405.5,611.75,773.55,805.91,814.0,406.90246913580245,235.406581023057,408.5,0.0069441053082041175,1.0,0.0,0.0,,,False,2.8666666666666667,3,"[{""count"": 1, ""share"": 0.0012345679012345679, ""value"": ""1""}, {""count"": 1, ""share"": 0.0012345679012345679, ""value"": ""2""}, {""count"": 1, ""share"": 0.0012345679012345679, ""value"": ""3""}, {""count"": 1, ""share"": 0.0012345679012345679, ""value"": ""4""}, {""count"": 1, ""share"": 0.0012345679012345679, ""value"": ""5""}, {""count"": 1, ""share"": 0.0012345679012345679, ""value"": ""6""}, {""count"": 1, ""share"": 0.0012345679012345679, ""value"": ""7""}, {""count"": 1, ""share"": 0.0012345679012345679, ""value"": ""8""}]"
electrochemical_metrics_alloys,Pitting Potential,"Composition, wt.% Fe",material,material,base_material_condition,composition_component,numeric_continuous,low,False,3.25,3.25,"{""material"": 3.25}","[""current_group:material"", ""material_name_pattern""]","[""closed_composition_percent_candidate""]",[],810,810,1.0,318,0.3925925925925926,810,1.0,1.0,318,0.34444444444444444,0.0,0.0,0.0,0.0,57.002,69.460725,81.434,100.0,100.0,44.17794141975308,31.599565588910483,69.460725,-0.4149109840439296,0.7308641975308642,0.0,0.2691358024691358,closed_composition_percent_candidate,99.86200000000001,False,9.98641975308642,21,"[{""count"": 218, ""share"": 0.2691358024691358, ""value"": ""0""}, {""count"": 11, ""share"": 0.013580246913580247, ""value"": ""7.99""}, {""count"": 10, ""share"": 0.012345679012345678, ""value"": ""100""}, {""count"": 9, ""share"": 0.011111111111111112, ""value"": ""6.9999999999999999E-4""}, {""count"": 7, ""share"": 0.008641975308641974, ""value"": ""66.908000000000001""}, {""count"": 7, ""share"": 0.008641975308641974, ""value"": ""81.433999999999997""}, {""count"": 7, ""share"": 0.008641975308641974, ""value"": ""23.4""}, {""count"": 6, ""share"": 0.007407407407407408, ""value"": ""71.930000000000007""}]"
electrochemical_metrics_alloys,Pitting Potential,"Composition, wt.% Cr",material,material,base_material_condition,composition_component,numeric_continuous,low,False,3.25,3.25,"{""material"": 3.25}","[""current_group:material"", ""material_name_pattern""]","[""closed_composition_percent_candidate""]",[],810,805,0.9938271604938271,214,0.26583850931677017,805,1.0,0.9938271604938271,214,0.368944099378882,0.0,0.0,0.0,15.0,18.0,21.48,28.31999999999998,39.43120000000028,100.0,16.418213664596273,9.76054645115502,6.48,0.7141876744724198,0.822360248447205,0.0,0.17763975155279504,closed_composition_percent_candidate,99.86200000000001,False,5.080745341614906,18,"[{""count"": 143, ""share"": 0.17763975155279504, ""value"": ""0""}, {""count"": 29, ""share"": 0.03602484472049689, ""value"": ""20""}, {""count"": 27, ""share"": 0.03354037267080745, ""value"": ""17.93""}, {""count"": 19, ""share"": 0.02360248447204969, ""value"": ""18""}, {""count"": 19, ""share"": 0.02360248447204969, ""value"": ""15""}, {""count"": 16, ""share"": 0.01987577639751553, ""value"": ""25""}, {""count"": 15, ""share"": 0.018633540372670808, ""value"": ""17.600000000000001""}, {""count"": 12, ""share"": 0.014906832298136646, ""value"": ""17.399999999999999""}]"
electrochemical_metrics_alloys,Pitting Potential,"Composition, wt.% Ni",material,material,base_material_condition,composition_component,numeric_continuous,low,False,3.25,3.25,"{""material"": 3.25}","[""current_group:material"", ""material_name_pattern""]","[""closed_composition_percent_candidate""]",[],810,788,0.9728395061728395,184,0.233502538071066,788,1.0,0.9728395061728395,184,0.40482233502538073,0.0,0.0,0.0,0.11,10.1,24.6,74.18499999999999,100.0,100.0,18.17946192893401,23.444046647777554,24.490000000000002,1.65984720847141,0.7703045685279187,0.0,0.2296954314720812,closed_composition_percent_candidate,99.86200000000001,False,4.025380710659898,21,"[{""count"": 181, ""share"": 0.2296954314720812, ""value"": ""0""}, {""count"": 26, ""share"": 0.03299492385786802, ""value"": ""14.38""}, {""count"": 23, ""share"": 0.02918781725888325, ""value"": ""13""}, {""count"": 18, ""share"": 0.02284263959390863, ""value"": ""10""}, {""count"": 14, ""share"": 0.017766497461928935, ""value"": ""25""}, {""count"": 10, ""share"": 0.012690355329949238, ""value"": ""6""}, {""count"": 10, ""share"": 0.012690355329949238, ""value"": ""100""}, {""count"": 10, ""share"": 0.012690355329949238, ""value"": ""1.44""}]"
electrochemical_metrics_alloys,Pitting Potential,"Composition, wt.% Mo",material,material,base_material_condition,composition_component,numeric_continuous,low,False,3.25,3.25,"{""material"": 3.25}","[""current_group:material"", ""material_name_pattern""]","[""closed_composition_percent_candidate""]",[],810,779,0.9617283950617284,190,0.24390243902439024,779,1.0,0.9617283950617284,190,0.4441591784338896,0.0,0.0,0.0,0.0,1.911,4.525,21.07,100.0,100.0,5.347297817715019,13.440676115918603,4.525,5.289824002143183,0.6765083440308087,0.0,0.32349165596919127,closed_composition_percent_candidate,99.86200000000001,False,3.5198973042362,21,"[{""count"": 252, ""share"": 0.32349165596919127, ""value"": ""0""}, {""count"": 30, ""share"": 0.038510911424903725, ""value"": ""3""}, {""count"": 14, ""share"": 0.01797175866495507, ""value"": ""5""}, {""count"": 10, ""share"": 0.012836970474967908, ""value"": ""6""}, {""count"": 10, ""share"": 0.012836970474967908, ""value"": ""1.03""}, {""count"": 10, ""share"": 0.012836970474967908, ""value"": ""1.02""}, {""count"": 10, ""share"": 0.012836970474967908, ""value"": ""100""}, {""count"": 9, ""share"": 0.011553273427471117, ""value"": ""2""}]"
electrochemical_metrics_alloys,Pitting Potential,"Composition, wt.% W",material,material,base_material_condition,composition_component,numeric_continuous,low,False,3.25,3.25,"{""material"": 3.25}","[""current_group:material"", ""material_name_pattern""]","[""closed_composition_percent_candidate""]",[],810,795,0.9814814814814815,21,0.026415094339622643,795,1.0,0.9814814814814815,21,0.9572327044025157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.81,27.21,0.1785056603773585,1.480696333182478,0.0,12.336004183016627,0.042767295597484274,0.0,0.9572327044025157,closed_composition_percent_candidate,99.86200000000001,False,1.389937106918239,21,"[{""count"": 761, ""share"": 0.9572327044025157, ""value"": ""0""}, {""count"": 4, ""share"": 0.005031446540880503, ""value"": ""2.4900000000000002""}, {""count"": 4, ""share"": 0.005031446540880503, ""value"": ""4.8099999999999996""}, {""count"": 3, ""share"": 0.0037735849056603774, ""value"": ""0.02""}, {""count"": 2, ""share"": 0.0025157232704402514, ""value"": ""8.66""}, {""count"": 2, ""share"": 0.0025157232704402514, ""value"": ""12.4""}, {""count"": 2, ""share"": 0.0025157232704402514, ""value"": ""1.4999999999999999E-2""}, {""count"": 2, ""share"": 0.0025157232704402514, ""value"": ""0.03""}]"
electrochemical_metrics_alloys,Pitting Potential,"Composition, wt.% N",material,material,base_material_condition,percentage_or_fraction,numeric_continuous,low,False,3.25,3.25,"{""material"": 3.25}","[""current_group:material"", ""material_name_pattern""]",[],[],810,274,0.33827160493827163,110,0.40145985401459855,274,1.0,0.33827160493827163,110,0.040145985401459854,0.0,0.0,0.000965,0.032,0.116,0.21,0.4041999999999996,0.56,0.69,0.14396405109489052,0.1370093033018301,0.178,1.152359601196696,0.9598540145985401,0.0,0.040145985401459854,,,False,11.485401459854014,21,"[{""count"": 17, ""share"": 0.06204379562043796, ""value"": ""0.2""}, {""count"": 11, ""share"": 0.040145985401459854, ""value"": ""0""}, {""count"": 9, ""share"": 0.032846715328467155, ""value"": ""0.31""}, {""count"": 7, ""share"": 0.025547445255474453, ""value"": ""6.0999999999999999E-2""}, {""count"": 7, ""share"": 0.025547445255474453, ""value"": ""0.13700000000000001""}, {""count"": 7, ""share"": 0.025547445255474453, ""value"": ""3.2000000000000001E-2""}, {""count"": 6, ""share"": 0.021897810218978103, ""value"": ""0.16""}, {""count"": 6, ""share"": 0.021897810218978103, ""value"": ""0.13""}]"
electrochemical_metrics_alloys,Pitting Potential,"Composition, wt.% Nb",material,material,base_material_condition,composition_component,numeric_continuous,low,False,3.25,3.25,"{""material"": 3.25}","[""current_group:material"", ""material_name_pattern""]","[""closed_composition_percent_candidate""]",[],810,772,0.9530864197530864,18,0.023316062176165803,772,1.0,0.9530864197530864,18,0.9209844559585493,0.0,0.0,0.0,0.0,0.0,0.0,0.34,2.5,64.96,0.40634715025906737,4.175724611959835,0.0,12.475113753199137,0.08160621761658031,0.0,0.9183937823834197,closed_composition_percent_candidate,99.86200000000001,False,1.2901554404145077,18,"[{""count"": 709, ""share"": 0.9183937823834197, ""value"": ""0""}, {""count"": 24, ""share"": 0.031088082901554404, ""value"": ""0.34""}, {""count"": 10, ""share"": 0.012953367875647668, ""value"": ""0.3""}, {""count"": 5, ""share"": 0.006476683937823834, ""value"": ""2.5""}, {""count"": 4, ""share"": 0.0051813471502590676, ""value"": ""0.51""}, {""count"": 3, ""share"": 0.0038860103626943004, ""value"": ""0.1""}, {""count"": 2, ""share"": 0.0025906735751295338, ""value"": ""1""}, {""count"": 2, ""share"": 0.0025906735751295338, ""value"": ""0.11""}]"
electrochemical_metrics_alloys,Pitting Potential,"Composition, wt.% C",material,material,base_material_condition,percentage_or_fraction,numeric_continuous,low,False,3.25,3.25,"{""material"": 3.25}","[""current_group:material"", ""material_name_pattern""]",[],[],810,368,0.454320987654321,64,0.17391304347826086,368,1.0,0.454320987654321,64,0.005434782608695652,0.0,0.0015,0.003,0.012,0.02,0.0325,0.07,0.09861999999999978,0.108,0.026122010869565216,0.021453956746643226,0.0205,1.588164425585243,0.9945652173913043,0.0,0.005434782608695652,,,False,13.3125,21,"[{""count"": 56, ""share"": 0.15217391304347827, ""value"": ""0.02""}, {""count"": 26, ""share"": 0.07065217391304347, ""value"": ""3.5999999999999997E-2""}, {""count"": 23, ""share"": 0.0625, ""value"": ""0.03""}, {""count"": 22, ""share"": 0.059782608695652176, ""value"": ""2.5000000000000001E-2""}, {""count"": 15, ""share"": 0.04076086956521739, ""value"": ""6.0000000000000001E-3""}, {""count"": 14, ""share"": 0.03804347826086957, ""value"": ""7.0000000000000007E-2""}, {""count"": 14, ""share"": 0.03804347826086957, ""value"": ""3.0000000000000001E-3""}, {""count"": 13, ""share"": 0.035326086956521736, ""value"": ""1.4999999999999999E-2""}]"
electrochemical_metrics_alloys,Pitting Potential,"Composition, wt.% Si",material,material,base_material_condition,percentage_or_fraction,numeric_continuous,low,False,3.25,3.25,"{""material"": 3.25}","[""current_group:material"", ""material_name_pattern""]",[],[],810,357,0.44074074074074077,75,0.21008403361344538,357,1.0,0.44074074074074077,75,0.10084033613445378,0.0,0.0,0.002,0.22,0.44,0.64,2.06,6.7555999999999905,16.0,0.7135669467787115,1.3981806464616715,0.42000000000000004,7.434704026203521,0.9803921568627451,0.0,0.0196078431372549,,,False,5.644257703081233,21,"[{""count"": 25, ""share"": 0.0700280112044818, ""value"": ""1""}, {""count"": 16, ""share"": 0.04481792717086835, ""value"": ""0.5""}, {""count"": 15, ""share"": 0.04201680672268908, ""value"": ""0.49""}, {""count"": 12, ""share"": 0.03361344537815126, ""value"": ""0.4""}, {""count"": 11, ""share"": 0.03081232492997199, ""value"": ""2E-3""}, {""count"": 11, ""share"": 0.03081232492997199, ""value"": ""0.22""}, {""count"": 11, ""share"": 0.03081232492997199, ""value"": ""0.23""}, {""count"": 11, ""share"": 0.03081232492997199, ""value"": ""0.54""}]"
